,title,published_date,viewCount,likeCount,commentCount,Month
124,"('Biden Suspended Defense Deals With UAE and Saudi Arab | India built Srilanka Colombo port | H1b Visa',)",2021-01-29 08:09:37+00:00,4975698,215766,9016.0,Jan
125,"('Nakula Pass | Republic Day 2021 | India China Dispute in Nakula Sikkim',)",2021-01-25 18:26:48+00:00,6212500,355642,16672.0,Jan
126,"('US  President | Sindh Country |',)",2021-01-22 16:09:20+00:00,3794921,213670,8785.0,Jan
127,"('Tejas fighter | Tejas MK1 and MK2 | HAL Tejas | Why MIG 21 Crash | JF 17 fighter | Tejas vs JF17 |',)",2021-01-16 17:47:57+00:00,7190376,231924,9235.0,Jan
128,"('DFC Rail Project | WDFC and EDFC | DFCCIL | New Track Laying Machine |',)",2021-01-14 17:44:39+00:00,8245307,257894,9684.0,Jan
129,"(""What's App New Privacy Policy | What's App VS Signal App | What's App VS Telegram"",)",2021-01-11 17:51:16+00:00,7994028,387617,18625.0,Jan
130,"('Tesla Car | Lithium ion battery | Lithium triangle country | Electric Vehicle | KABIL Company | Car',)",2021-01-10 17:35:51+00:00,11424420,332780,8715.0,Jan
131,"('Central Asia Countries Want to Use Chabahar Port | France India Meeting Trump Account suspended',)",2021-01-09 17:21:24+00:00,2424031,136143,5731.0,Jan
132,"('ISRO Scientist Claim Poison Attack in 2017 | Arsenic Poisoning | Indian Scientist Dying |',)",2021-01-07 16:09:27+00:00,4528131,347456,20766.0,Jan
133,"('jack ma Destroyed by Xi Jingping | Boris Johnson Cancel India republic day visit',)",2021-01-07 03:24:56+00:00,2974869,176293,6842.0,Jan
134,"('India China Standoff | China Export Armed Drone to Pakistan',)",2021-01-04 04:44:42+00:00,4114150,161317,9351.0,Jan
135,"('What is Dry run of Vaccine | Corona Vaccine Update | Covid shield | Covaxin | AstraZeneca | Moderna',)",2021-01-03 16:10:59+00:00,1888030,115447,4581.0,Jan
136,"('What is ROM and RAM and CACHE Memory | HDD and SSD | Graphic Card | Primary and Secondary Memory',)",2020-12-29 12:26:17+00:00,11706066,372347,12171.0,Dec
137,"('CPU | Processor | Core of Processor | Motherboard | Software and Hardware | Input and Output | 7nm',)",2020-12-23 11:19:18+00:00,9004948,324745,12170.0,Dec
138,"('YouTube Give me 8th Rank in India | PLI Scheme | 5G in India | Samsung Display Factory in India',)",2020-12-16 07:32:35+00:00,6635421,388498,23581.0,Dec
139,"('Mig29K | INS Vishal | 3rd Aircraft Carrier | Boris Johnson as chief guest for the Republic Day',)",2020-12-05 11:57:13+00:00,3129527,133439,5016.0,Dec
140,"('Swan Drone | Predator Drone | Sea Guardian | Synthetic Aperture Radar | ISRO Satellite collision',)",2020-12-04 12:11:11+00:00,2374930,123264,4857.0,Dec
141,"('कनाडा के PM के बयान पर भारत ने लगाई फटकार | Mohsen Fakhrizadeh | Iran Scientist Killed by MOSAD |',)",2020-12-02 17:19:38+00:00,2001619,111587,4194.0,Dec
142,"('Boko Haram killed Farmers in Nigeria | Farmers Protest in Delhi | OIC Oppose Revoked of Article 370',)",2020-12-01 17:51:38+00:00,2378563,144045,8511.0,Dec
143,"('Coastal Surveillance Radar | China Blame India for Corona | Galwan Valley Update |',)",2020-11-30 13:34:48+00:00,1767386,118291,11752.0,Nov
144,"('AIP System of Submarine | France boycott to Pakistan | ISRO launch Satellite for Bhutan',)",2020-11-22 04:13:53+00:00,3834349,187314,11463.0,Nov
145,"('Direct Energy Weapon | Nine Dash Line | China Attack on Indian Soldier by Microwave Weapon',)",2020-11-18 16:22:52+00:00,1919766,100662,4013.0,Nov
146,"('RCEP | Why India quit RCEP | What is RCEP | Regional Comprehensive Economic Partnership',)",2020-11-17 17:02:05+00:00,4410358,165389,8865.0,Nov
147,"('क्या है Hyperloop | Virgin Hyperloop | Hyperloop Technology | Mumbai Pune Hyperloop',)",2020-11-16 16:44:06+00:00,9255971,287472,8643.0,Nov
148,"('कुम्हार लाचार पड़ा | Boycott Chinese Lights in Diwali | Happy Diwali By Khan Sir',)",2020-11-12 17:25:33+00:00,2603188,205413,19173.0,Nov
149,"('KAFALA Rule of Saudi Arab | Coastal surveillance Radar |  India Give Radar to Philippians',)",2020-11-11 18:15:07+00:00,3800015,142927,3902.0,Nov
150,"('चंद्र ग्रहण | सूर्य ग्रहण | Eclipse | Solar Eclipse | Lunar Eclipse | Transit | राहु और केतु',)",2020-11-10 17:18:31+00:00,6818838,148260,5029.0,Nov
151,"('POTUS | US Election 2020 | Impact of Joe Biden on India US Relation | US me Election Kaise Hota Hai',)",2020-11-09 17:41:27+00:00,3145784,127480,4470.0,Nov
152,"('End of Dinosaurs Meteors | Meteorites | Asteroid | Miner Planet | Solar System',)",2020-11-07 15:07:22+00:00,16881889,552141,18774.0,Nov
153,"('QUAD Group | Malabar Naval Exercise 2020 | Australia Included in Malabar Naval Exercise',)",2020-11-05 16:57:31+00:00,2655623,123394,4621.0,Nov
154,"('Front & Rear Wheel Drive | All Wheel Drive | ABS Brake | EBD | Air Bags in Car | Hatchback And Sedan',)",2020-11-04 17:42:41+00:00,4325337,150605,4918.0,Nov
155,"('Pakistan Handover Two Islands to China |  PIDA | Bundal And Bhuddo Islands',)",2020-11-04 03:58:16+00:00,3202596,148128,10586.0,Nov
156,"('Galwan Valley Update | Secure Application for Internet | SAI | Pak Minister Statement on india',)",2020-10-30 16:40:33+00:00,2766518,141935,5929.0,Oct
157,"('Boycott of French Goods | Boycott of France | Charlie Hebdo | Teacher Beheaded in France',)",2020-10-29 17:01:59+00:00,4010435,223475,23609.0,Oct
158,"('USA Election | Trump VS Biden | Trump - Biden Debate | US Election Update',)",2020-10-27 17:31:06+00:00,1390331,79795,4584.0,Oct
159,"('Hawala Bazar | FATF | Black Money | Tax Heaven Country | Money Laundering | Gray List | Black List',)",2020-10-26 16:34:11+00:00,11970603,348198,10852.0,Oct
160,"('What is COMCASA | BECA | LEMOA | 2+2 Dialogue | ISA | GSOMIA Agreement |',)",2020-10-25 11:47:07+00:00,3349268,153768,6946.0,Oct
161,"('String of Pearls Policy of China | Iron Curtain | Ream Naval Base',)",2020-10-24 15:25:12+00:00,5013704,177109,6584.0,Oct
162,"('India China Dispute | Bangladesh Cancel China Fund in Sonadia Port | India Myanmar submarine Deal',)",2020-10-22 04:05:09+00:00,9874528,361343,10395.0,Oct
